f	gamma
1.0	0.9763645123383365
2.0	0.9760734246449386
3.0	0.9755884131582945
4.0	0.9749096619685681
5.0	0.9740374357922069
6.0	0.9729720746469557
7.0	0.9717139938480484
8.0	0.9702636837542077
9.0	0.9686217095002961
10.0	0.9667887107539759
11.0	0.964765401371647
12.0	0.9625525690766567
13.0	0.9601510750596106
14.0	0.957561853564919
15.0	0.9547859114305628
16.0	0.9518243276005
17.0	0.9486782525976113
18.0	0.9453489079623792
19.0	0.9418375856584486
20.0	0.9381456474432506
21.0	0.9342745242047316
22.0	0.9302257152654764
23.0	0.9260007876529497
24.0	0.921601375337877
25.0	0.9170291784399583
26.0	0.9122859624021006
27.0	0.9073735571332651
28.0	0.9022938561204917
29.0	0.8970488155106582
30.0	0.8916404531623875
31.0	0.8860708476685168
32.0	0.8803421373499819
33.0	0.8744565192213946
34.0	0.868416247928929
35.0	0.8622236346611295
36.0	0.8558810460333015
37.0	0.849390902945959
38.0	0.842755679418043
39.0	0.8359779013955109
40.0	0.8290601455359642
41.0	0.8220050379699559
42.0	0.8148152530396876
43.0	0.8074935120157305
44.0	0.8000425817925158
45.0	0.7924652735632632
46.0	0.7847644414751056
47.0	0.7769429812651047
48.0	0.7690038288779172
49.0	0.7609499590658481
50.0	0.7527843839720634
51.0	0.7445101516977107
52.0	0.7361303448537269
53.0	0.7276480790981269
54.0	0.7190665016595487
55.0	0.7103887898478435
56.0	0.7016181495525352
57.0	0.692757813729936
58.0	0.6838110408797393
59.0	0.6747811135119035
60.0	0.6656713366046584
61.0	0.6564850360544361
62.0	0.6472255571185888
63.0	0.6378962628516893
64.0	0.6285005325362821
65.0	0.6190417601088894
66.0	0.6095233525821357
67.0	0.5999487284638128
68.0	0.5903213161737296
69.0	0.5806445524591878
70.0	0.5709218808099142
71.0	0.5611567498732988
72.0	0.551352611870758
73.0	0.5415129210160761
74.0	0.531641131936538
75.0	0.521740698097696
76.0	0.5118150702325859
77.0	0.5018676947762203
78.0	0.49190201230617137
79.0	0.4819214559900588
80.0	0.4719294500407483
81.0	0.46192940818005945
82.0	0.4519247321117857
83.0	0.4419188100048019
84.0	0.4319150149870564
85.0	0.4219167036512096
86.0	0.4119272145726883
87.0	0.40194986684091794
88.0	0.3919879586044746
89.0	0.3820447656309002
90.0	0.372123539881914
91.0	0.36222750810473053
92.0	0.352359870440206
93.0	0.3425237990485014
94.0	0.33272243675295554
95.0	0.3229588957028464
96.0	0.31323625605569394
97.0	0.30355756467976835
98.0	0.2939258338774386
99.0	0.2843440401299803
100.0	0.27481512286447074
101.0	0.26534198324335245
102.0	0.2559274829772629
103.0	0.2465744431616983
104.0	0.23728564313806297
105.0	0.22806381937965048
106.0	0.218911664403081
107.0	0.20983182570570147
108.0	0.20082690472945267
109.0	0.19189945585167037
110.0	0.18305198540329062
111.0	0.17428695071490385
112.0	0.16560675919108403
113.0	0.15701376741340986
114.0	0.14851028027256716
115.0	0.14009855012991804
116.0	0.13178077600888943
117.0	0.12355910281652792
118.0	0.11543562059554638
119.0	0.10741236380716565
120.0	0.09949131064504352
121.0	0.09167438238055985
122.0	0.08396344273970857
123.0	0.07636029731183383
124.0	0.06886669299042181
125.0	0.06148431744614538
126.0	0.05421479863234089
127.0	0.04705970432307405
128.0	0.0400205416839359
129.0	0.03309875687568861
130.0	0.026295734690865987
131.0	0.01961279822340923
132.0	0.013051208571404016
133.0	0.006612164572962858
134.0	0.00029680257528261547
135.0	-0.005893803763120414
136.0	-0.011958643637003705
137.0	-0.017896769225852517
138.0	-0.02370729579224361
139.0	-0.029389401747184473
140.0	-0.03494232868251349
141.0	-0.04036538137046762
142.0	-0.04565792773053707
143.0	-0.050819398763749656
144.0	-0.055849288454543296
145.0	-0.0607471536404009
146.0	-0.06551261384944743
147.0	-0.07014535110621459
148.0	-0.07464510970580819
149.0	-0.07901169595672217
150.0	-0.08324497789256324
151.0	-0.08734488495296791
152.0	-0.09131140763400827
153.0	-0.09514459710840145
154.0	-0.09884456481585144
155.0	-0.10241148202387068
156.0	-0.10584557935944114
157.0	-0.10914714631189458
158.0	-0.11231653070740213
159.0	-0.11535413815548165
160.0	-0.11826043146794421
161.0	-0.12103593005071586
162.0	-0.12368120926898592
163.0	-0.12619689978614343
164.0	-0.1285836868769818
165.0	-0.13084230971566077
166.0	-0.1329735606389283
167.0	-0.1349782843851191
168.0	-0.13685737730945763
169.0	-0.13861178657620316
170.0	-0.14024250932819002
171.0	-0.14175059183432326
172.0	-0.14313712861560274
173.0	-0.1444032615502574
174.0	-0.14555017895858433
175.0	-0.1465791146680924
176.0	-0.14749134705956285
177.0	-0.14828819809464613
178.0	-0.1489710323256241
179.0	-0.14954125588797246
180.0	-0.150000315476368
181.0	-0.1503496973047909
182.0	-0.15059092605137936
183.0	-0.1507255637887009
184.0	-0.15075520890010924
185.0	-0.15068149498286165
186.0	-0.15050608973867788
187.0	-0.15023069385242332
188.0	-0.14985703985960705
189.0	-0.1493868910033864
190.0	-0.1488220400817733
191.0	-0.1481643082857424
192.0	-0.14741554402894086
193.0	-0.14657762176970385
194.0	-0.14565244082607984
195.0	-0.14464192418457208
196.0	-0.14354801730330305
197.0	-0.14237268691030766
198.0	-0.1411179197976642
199.0	-0.1397857216121672
200.0	-0.1383781156432488
201.0	-0.13689714160885214
202.0	-0.13534485443995917
203.0	-0.13372332306447265
204.0	-0.13203462919114978
205.0	-0.13028086609428102
206.0	-0.1284641373998066
207.0	-0.1265865558735552
208.0	-0.12465024221228978
209.0	-0.12265732383823746
210.0	-0.12060993369777595
211.0	-0.11851020906494533
212.0	-0.11636029035044568
213.0	-0.11416231991677683
214.0	-0.11191844090016911
215.0	-0.10963079603994595
216.0	-0.10730152651595501
217.0	-0.10493277079469268
218.0	-0.10252666348474271
219.0	-0.1000853342021383
220.0	-0.09761090644625026
221.0	-0.09510549648679395
222.0	-0.09257121226253823
223.0	-0.09001015229229099
224.0	-0.08742440459872416
225.0	-0.08481604564559234
226.0	-0.08218713928888813
227.0	-0.07953973574246528
228.0	-0.07687587055865251
229.0	-0.07419756362436476
230.0	-0.07150681817321232
231.0	-0.06880561981409197
232.0	-0.06609593557673385
233.0	-0.06337971297466674
234.0	-0.06065887908604776
235.0	-0.05793533965279442
236.0	-0.055210978198439994
237.0	-0.05248765516512175
238.0	-0.049767207070098254
239.0	-0.04705144568217673
240.0	-0.04434215721841891
241.0	-0.041641101561479724
242.0	-0.03895001149791815
243.0	-0.03627059197780522
244.0	-0.03360451939594184
245.0	-0.0309534408949805
246.0	-0.028318973690733627
247.0	-0.025702704419935732
248.0	-0.023106188510709127
249.0	-0.020530949575972936
250.0	-0.01797847883001359
251.0	-0.015450234528425612
252.0	-0.012947641431612946
253.0	-0.010472090292025199
254.0	-0.008024937365292965
255.0	-0.005607503945402471
256.0	-0.003221075924042388
257.0	-0.0008669033742362033
258.0	0.0014537998416419978
259.0	0.003739856439383505
260.0	0.005990126055926467
261.0	0.008203505567749035
262.0	0.010378929384637688
263.0	0.012515369718808702
264.0	0.014611836829375984
265.0	0.0166673792421743
266.0	0.01868108394496041
267.0	0.020652076558031994
268.0	0.02257952148031799
269.0	0.024462622011006928
270.0	0.026300620446798935
271.0	0.028092798154877086
272.0	0.029838475621711626
273.0	0.031537012477822146
274.0	0.03318780749864084
275.0	0.034790298581628076
276.0	0.036343962699812354
277.0	0.03784831583193464
278.0	0.039302912869393296
279.0	0.040707347500200136
280.0	0.042061252070167594
281.0	0.043364297421563974
282.0	0.04461619270948418
283.0	0.04581668519619581
284.0	0.046965560023734115
285.0	0.04806263996503036
286.0	0.0491077851538695
287.0	0.0501008927939865
288.0	0.05104189684761929
289.0	0.05193076770385089
290.0	0.052767511827079394
291.0	0.05355217138597033
292.0	0.05428482386325138
293.0	0.05496558164672295
294.0	0.05559459160186569
295.0	0.056172034626436156
296.0	0.056698125187451195
297.0	0.05717311084096982
298.0	0.057597271735090536
299.0	0.0579709200965894
300.0	0.05829439970163279
301.0	0.058568085331006374
302.0	0.05879238221030805
303.0	0.058967725435560975
304.0	0.059094579384708086
305.0	0.05917343711545704
306.0	0.05920481974994901
307.0	0.05918927584673181
308.0	0.05912738076052203
309.0	0.05901973599024647
310.0	0.05886696851585717
311.0	0.05866973012441905
312.0	0.05842869672597308
313.0	0.058144567659681
314.0	0.05781806499076131
315.0	0.05744993279872884
316.0	0.05704093645745315
317.0	0.056591861907552304
318.0	0.05610351492164166
319.0	0.05557672036295775
320.0	0.0550123214378788
321.0	0.05441117894286479
322.0	0.05377417050633927
323.0	0.05310218982603654
324.0	0.052396145902336724
325.0	0.051656962268111006
326.0	0.050885576215598166
327.0	0.050082938020833426
328.0	0.049250010166146774
329.0	0.04838776656124863
330.0	0.04749719176341696
331.0	0.04657928019729725
332.0	0.04563503537482606
333.0	0.044665469115781356
334.0	0.04367160076946505
335.0	0.042654456438013855
336.0	0.04161506820183516
337.0	0.04055447334765599
338.0	0.03947371359967178
339.0	0.03837383435427611
340.0	0.03725588391884324
341.0	0.03612091275503823
342.0	0.03496997272711237
343.0	0.03380411635564754
344.0	0.03262439607719593
345.0	0.031431863510262004
346.0	0.030227568728064706
347.0	0.029012559538508707
348.0	0.02778788077178968
349.0	0.026554573576047614
350.0	0.025313674721477213
351.0	0.024066215913292454
352.0	0.022813223113940746
353.0	0.021555715874943288
354.0	0.020294706678742593
355.0	0.019031200290915203
356.0	0.017766193123111156
357.0	0.016500672607062797
358.0	0.01523561658000204
359.0	0.013971992681813084
360.0	0.012710757764236351
361.0	0.011452857312435168
362.0	0.010199224879216724
363.0	0.008950781532200563
364.0	0.0077084353142066395
365.0	0.006473080717130701
366.0	0.0052455981695636415
367.0	0.004026853538396755
368.0	0.0028176976446490504
369.0	0.0016189657937387553
370.0	0.0004314773204093826
371.0	-0.0007439648514872346
372.0	-0.0019065746341616514
373.0	-0.0030555831858362255
374.0	-0.00419023930530114
375.0	-0.005309809810927775
376.0	-0.006413579903990475
377.0	-0.0075008535161677145
378.0	-0.008570953641099856
379.0	-0.00962322264989485
380.0	-0.01065702259048424
381.0	-0.011671735470742184
382.0	-0.012666763525294156
383.0	-0.01364152946594984
384.0	-0.014595476715710926
385.0	-0.01552806962631131
386.0	-0.01643879367926169
387.0	-0.017327155670381268
388.0	-0.01819268387780927
389.0	-0.019034928213501882
390.0	-0.01985346035823115
391.0	-0.020647873880112192
392.0	-0.0214177843366979
393.0	-0.022162829360690334
394.0	-0.022882668729327614
395.0	-0.02357698441752018
396.0	-0.024245480634814198
397.0	-0.024887883846277613
398.0	-0.02550394277740918
399.0	-0.026093428403183787
400.0	-0.026656133921357777
401.0	-0.027191874710165886
402.0	-0.02770048827055378
403.0	-0.028181834153097864
404.0	-0.0286357938697749
405.0	-0.02906227079075237
406.0	-0.02946119002638107
407.0	-0.029832498294578194
408.0	-0.030176163773801227
409.0	-0.030492175941818023
410.0	-0.03078054540049023
411.0	-0.03104130368679289
412.0	-0.03127450307030298
413.0	-0.03148021633739647
414.0	-0.03165853656240131
415.0	-0.03180957686596189
416.0	-0.03193347016087638
417.0	-0.03203036888567727
418.0	-0.03210044472622998
419.0	-0.03214388832563311
420.0	-0.03216090898270872
421.0	-0.032151734339377666
422.0	-0.03211661005722108
423.0	-0.03205579948353414
424.0	-0.03196958330718436
425.0	-0.031858259204590754
426.0	-0.031722141476146326
427.0	-0.031561560673409796
428.0	-0.03137686321739751
429.0	-0.031168411008310706
430.0	-0.03093658102703622
431.0	-0.030681764928763774
432.0	-0.030404368629064836
433.0	-0.030104811882782224
434.0	-0.029783527856081952
435.0	-0.02944096269202109
436.0	-0.029077575069988863
437.0	-0.02869383575937834
438.0	-0.028290227167849888
439.0	-0.02786724288454782
440.0	-0.027425387218632677
441.0	-0.026965174733494215
442.0	-0.02648712977700855
443.0	-0.025991786008205578
444.0	-0.025479685920711558
445.0	-0.02495138036333219
446.0	-0.0244074280581414
447.0	-0.023848395116440047
448.0	-0.023274854552948195
449.0	-0.02268738579859406
450.0	-0.02208657421225964
451.0	-0.021473010591844394
452.0	-0.02084729068500312
453.0	-0.020210014699915506
454.0	-0.019561786816439698
455.0	-0.01890321469800128
456.0	-0.018234909004566525
457.0	-0.017557482907044134
458.0	-0.016871551603458573
459.0	-0.016177731837233277
460.0	-0.015476641417918118
461.0	-0.014768898744693724
462.0	-0.014055122332977815
463.0	-0.013335930344458147
464.0	-0.012611940120869145
465.0	-0.011883767721825813
466.0	-0.011152027467024612
467.0	-0.01041733148311354
468.0	-0.009680289255530675
469.0	-0.00894150718560397
470.0	-0.008201588153198939
471.0	-0.0074611310851964395
472.0	-0.006720730530075453
473.0	-0.005980976238870589
474.0	-0.005242452752767288
475.0	-0.004505738997591026
476.0	-0.0037714078854412837
477.0	-0.003040025923712563
478.0	-0.0023121528317400462
479.0	-0.0015883411652986325
480.0	-0.0008691359491775803
481.0	-0.00015507431804680574
482.0	0.0005533148341786559
483.0	0.0012555111962745183
484.0	0.0019510033727516765
485.0	0.00263928920782322
486.0	0.0033198761001171986
487.0	0.003992281307965511
488.0	0.004656032245106984
489.0	0.005310666766651203
490.0	0.005955733445157384
491.0	0.0065907918366905766
492.0	0.007215412736725952
493.0	0.007829178425779902
494.0	0.008431682904654897
495.0	0.009022532119193372
496.0	0.009601344174444191
497.0	0.010167749538153964
498.0	0.01072139123350262
499.0	0.011261925021012727
500.0	0.011789019569568862
501.0	0.01230235661649237
502.0	0.012801631116625686
503.0	0.013286551380387018
504.0	0.013756839200767243
505.0	0.014212229969245838
506.0	0.014652472780613733
507.0	0.015077330526698006
508.0	0.015486579978990854
509.0	0.01588001186019517
510.0	0.0162574309047051
511.0	0.01661865590804951
512.0	0.016963519765333734
513.0	0.01729186949872221
514.0	0.017603566274013677
515.0	0.017898485406367282
516.0	0.01817651635524554
517.0	0.018437562708649106
518.0	0.018681542156723244
519.0	0.01890838645482593
520.0	0.019118041376152608
521.0	0.01931046665402097
522.0	0.019485635913925804
523.0	0.019643536595480526
524.0	0.01978416986436959
525.0	0.01990755051444141
526.0	0.02001370686007925
527.0	0.02010268061899286
528.0	0.020174526785580443
529.0	0.020229313495016367
530.0	0.020267121878226196
531.0	0.020288045907916046
532.0	0.02029219223582933
533.0	0.020279680021409074
534.0	0.0202506407520495
535.0	0.02020521805512561
536.0	0.02014356750199458
537.0	0.020065856404167488
538.0	0.01997226360185458
539.0	0.019862979245091762
540.0	0.019738204567660178
541.0	0.01959815165401517
542.0	0.019443043199444107
543.0	0.019273112263677446
544.0	0.019088602018179506
545.0	0.018889765487350524
546.0	0.01867686528387263
547.0	0.018450173338437795
548.0	0.01820997062409621
549.0	0.017956546875468108
550.0	0.017690200303062932
551.0	0.01741123730295338
552.0	0.017119972162052507
553.0	0.016816726759244834
554.0	0.016501830262623834
555.0	0.016175618823089363
556.0	0.015838435264559764
557.0	0.015490628771055214
558.0	0.015132554570908828
559.0	0.014764573618362444
560.0	0.014387052272806643
561.0	0.014000361975921086
562.0	0.013604878926975263
563.0	0.013200983756546915
564.0	0.012789061198915935
565.0	0.012369499763391873
566.0	0.011942691404830346
567.0	0.011509031193595858
568.0	0.011068916985223741
569.0	0.010622749090036944
570.0	0.0101709299429675
571.0	0.009713863773834605
572.0	0.009251956278327344
573.0	0.008785614289938754
574.0	0.008315245453096054
575.0	0.007841257897728594
576.0	0.007364059915514226
577.0	0.006884059638040278
578.0	0.006401664717114418
579.0	0.005917282007455364
580.0	0.0054313172519932125
581.0	0.004944174770003168
582.0	0.004456257148295131
583.0	0.003967964935675474
584.0	0.0034796963408980086
585.0	0.0029918469343110793
586.0	0.002504809353410277
587.0	0.002018973012496792
588.0	0.0015347238166408157
589.0	0.001052443880142924
590.0	0.0005725112496822241
591.0	9.5299632336978e-05
592.0	-0.00037882187134402265
593.0	-0.000849489029043065
594.0	-0.0013163427329795849
595.0	-0.0017790292506543563
596.0	-0.0022372004698731247
597.0	-0.0026905141378945254
598.0	-0.003138634094553691
599.0	-0.003581230499216874
600.0	-0.004017980051430177
601.0	-0.004448566205128254
602.0	-0.00487267937627666
603.0	-0.005290017143827045
604.0	-0.005700284443867703
605.0	-0.006103193756862305
606.0	-0.006498465287870656
607.0	-0.006885827139654788
608.0	-0.007265015478577936
609.0	-0.007635774693210326
610.0	-0.007997857545562355
611.0	-0.008351025314870322
612.0	-0.008695047933867845
613.0	-0.009029704117480386
614.0	-0.009354781483888366
615.0	-0.009670076667908187
616.0	-0.009975395426648818
617.0	-0.010270552737406225
618.0	-0.010555372887764947
619.0	-0.010829689557881503
620.0	-0.011093345894931425
621.0	-0.011346194579706526
622.0	-0.011588097885356124
623.0	-0.011818927728272068
624.0	-0.01203856571112169
625.0	-0.012246903158041897
626.0	-0.012443841142009996
627.0	-0.012629290504416002
628.0	-0.012803171866864221
629.0	-0.012965415635239988
630.0	-0.013115961996081822
631.0	-0.013254760905305075
632.0	-0.013381772069329587
633.0	-0.01349696491866809
634.0	-0.013600318574039075
635.0	-0.013691821805071877
636.0	-0.013771472981677904
637.0	-0.013839280018166943
638.0	-0.013895260310192503
639.0	-0.013939440664615298
640.0	-0.013971857222379033
641.0	-0.013992555374497357
642.0	-0.014001589671255732
643.0	-0.013999023724736565
644.0	-0.013984930104780535
645.0	-0.01395939022850154
646.0	-0.013922494243476913
647.0	-0.013874340904738876
648.0	-0.013815037445697238
649.0	-0.013744699443127461
650.0	-0.013663450676361807
651.0	-0.013571422980825303
652.0	-0.013468756096061789
653.0	-0.013355597508398577
654.0	-0.013232102288402037
655.0	-0.013098432923278967
656.0	-0.012954759144382719
657.0	-0.012801257749984675
658.0	-0.012638112423475862
659.0	-0.012465513547164617
660.0	-0.012283658011840674
661.0	-0.01209274902227627
662.0	-0.0118929958988391
663.0	-0.011684613875392325
664.0	-0.0114678238936601
665.0	-0.011242852394238383
666.0	-0.011009931104431991
667.0	-0.010769296823101508
668.0	-0.01052119120270342
669.0	-0.010265860528710171
670.0	-0.010003555496595323
671.0	-0.009734530986572619
672.0	-0.009459045836275892
673.0	-0.009177362611570199
674.0	-0.008889747375681857
675.0	-0.008596469456838236
676.0	-0.008297801214607072
677.0	-0.00799401780512401
678.0	-0.007685396945399645
679.0	-0.007372218676894646
680.0	-0.007054765128552472
681.0	-0.006733320279477232
682.0	-0.006408169721446028
683.0	-0.006079600421441773
684.0	-0.005747900484392946
685.0	-0.005413358916304151
686.0	-0.005076265387963096
687.0	-0.004736909999404701
688.0	-0.004395583045313074
689.0	-0.00405257478154193
690.0	-0.003708175192928825
691.0	-0.00336267376258044
692.0	-0.0030163592428004912
693.0	-0.002669519427833642
694.0	-0.0023224409285921323
695.0	-0.0019754089495333735
696.0	-0.0016287070678515977
697.0	-0.0012826170151453535
698.0	-0.0009374184617197863
699.0	-0.0005933888036781122
700.0	-0.00025080295295763083
701.0	9.006686954278822e-05
702.0	0.00042895133759431395
703.0	0.0007655842198883728
704.0	0.0010997025767626612
705.0	0.0014310469532688302
706.0	0.001759361568446343
707.0	0.0020843945006759953
708.0	0.0024058978689848447
709.0	0.0027236280101816633
710.0	0.0030373456517054764
711.0	0.003346816080071686
712.0	0.003651809304807239
713.0	0.0039521002177670544
714.0	0.004247468747731563
715.0	0.004537700010186385
716.0	0.0048225844521909995
717.0	0.005101917992247806
718.0	0.0053755021550858685
719.0	0.005643144201279515
720.0	0.005904657251625391
721.0	0.006159860406207208
722.0	0.006408578858080277
723.0	0.006650644001513673
724.0	0.006885893534732222
725.0	0.007114171557105461
726.0	0.007335328660733645
727.0	0.0075492220163878325
728.0	0.007755715453764099
729.0	0.007954679536017455
730.0	0.008145991628544534
731.0	0.008329535961990514
732.0	0.008505203689458925
733.0	0.00867289293790795
734.0	0.008832508853722259
735.0	0.00898396364245283
736.0	0.009127176602722832
737.0	0.009262074154301542
738.0	0.009388589860353343
739.0	0.009506664443873145
740.0	0.009616245798323743
741.0	0.009717288992495996
742.0	0.009809756269616027
743.0	0.009893617040729248
744.0	0.009968847872394118
745.0	0.010035432468723897
746.0	0.0100933616478182
747.0	0.010142633312630989
748.0	0.010183252416325088
749.0	0.010215230922167959
750.0	0.010238587758027346
751.0	0.010253348765529217
752.0	0.010259546643944493
753.0	0.010257220888874798
754.0	0.01024641772581135
755.0	0.010227190038644585
756.0	0.010199597293205867
757.0	0.010163705455926184
758.0	0.010119586907699962
759.0	0.010067320353045816
760.0	0.010006990724658967
761.0	0.009938689083453555
762.0	0.009862512514195865
763.0	0.00977856401683285
764.0	0.009686952393622899
765.0	0.009587792132178542
766.0	0.00948120328453416
767.0	0.009367311342353368
768.0	0.009246247108394242
769.0	0.009118146564351847
770.0	0.008983150735201291
771.0	0.008841405550165195
772.0	0.008693061700432455
773.0	0.008538274493757126
774.0	0.008377203706067551
775.0	0.008210013430218384
776.0	0.008036871922019004
777.0	0.007857951443674174
778.0	0.007673428104773131
779.0	0.0074834817009662375
780.0	0.007288295550467254
781.0	0.0070880563285229525
782.0	0.006882953899990212
783.0	0.006673181150163707
784.0	0.006458933813996783
785.0	0.006240410303858614
786.0	0.006017811535972887
787.0	0.00579134075568077
788.0	0.005561203361674257
789.0	0.005327606729344155
790.0	0.0050907600333876465
791.0	0.004850874069819832
792.0	0.004608161077534615
793.0	0.00436283455955897
794.0	0.004115109104143927
795.0	0.0038652002058362778
796.0	0.0036133240866736607
797.0	0.003359697517644868
798.0	0.003104537640556019
799.0	0.0028480617904441223
800.0	0.002590487318675406
801.0	0.0023320314168678614
802.0	0.002072910941773285
803.0	0.0018133422412556846
804.0	0.0015535409814981822
805.0	0.001293721975571609
806.0	0.0010340990134954115
807.0	0.0007748846939189726
808.0	0.0005162902575511566
